property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermaket
38026,-37.77483368,145.0201416,163 Arthur Street,FAIRFIELD,5840000,house,2008,4,1,1,SC_001,2054,19930,560,18,0,hospital_039,1582,S_219,2035
10182,-37.796184,144.932567,19 Chelmsford Street,KENSINGTON,5850000,house,2012,3,1,0,SC_011,2109,20041,322,13,0,hospital_114,262,S_086,1084
57335,-37.82625961,145.0800934,5 Scott Street,CANTERBURY,25050000,house,2008,5,3,1,SC_099,1951,19893,221,29,0,hospital_168,3115,S_160,1259
46560,-37.71591949,145.1594391,13 Laleham Court,ELTHAM,6565000,house,2008,4,2,2,SC_051,4703,19987,1056,44,0,hospital_075,4868,S_194,162
62232,-37.791392,145.246616,7 Harwick Close,RINGWOOD,6492000,house,2013,3,1,2,SC_032,2847,19879,2311,47,0,hospital_164,1985,S_157,986
37231,-37.649473,145.05383,3 Kayla Court,EPPING,3688000,house,2011,4,2,2,SC_062,2802,45795,1164,46,0,hospital_053,3299,S_096,1806
76332,-37.9070549,145.0805206,6 Moorookyle Avenue,HUGHESDALE,6250000,house,2008,3,1,3,SC_087,2076,19917,1010,34,0,hospital_159,2061,S_010,1699
81667,-37.989181,145.245489,105 Ash Street,DOVETON,6987000,house,2016,3,1,1,SC_077,1798,19888,3138,54,0,hospital_119,2370,S_195,1675
48655,-37.801463,145.033261,67a Peel Street,KEW,20570000,house,2015,3,2,1,SC_083,2125,19904,2244,20,0,hospital_064,1548,S_039,521
85397,-37.87923813,144.9975739,219A Hotham St,ELSTERNWICK,10591000,house,2007,2,1,1,SC_015,1890,19955,423,15,0,hospital_009,1157,S_133,802
7294,-37.740747,144.766757,2 Entally Drive,ALBANVALE,4650000,house,2015,3,1,0,SC_048,2385,20001,2696,36,0,hospital_057,4742,S_070,1263
68261,-37.852478,145.018387,10 Glassford Street,ARMADALE,20400000,house,2011,3,2,1,SC_038,1596,19946,437,22,0,hospital_132,855,S_115,1254
13981,-37.752456,144.913283,19 Richardson Street,ESSENDON,23400000,house,2013,5,2,2,SC_082,2165,20037,471,20,0,hospital_184,1341,S_197,917
1350,-37.80054,144.89109,7 Darling Street,FOOTSCRAY,11680000,house,2015,3,1,0,SC_043,2712,20024,221,17,0,hospital_056,930,S_201,609
10457,-37.7824,144.92925,36 Farnham Street,FLEMINGTON,11952000,house,2010,2,1,1,SC_011,1153,20040,549,14,0,hospital_007,987,S_086,545
86565,-37.901318,145.004846,31 Grandview Road,BRIGHTON,22800000,house,2016,3,1,2,SC_015,4205,19952,443,20,0,hospital_013,922,S_151,549
36819,-37.638133,145.05455,13 Longwood Drive,EPPING,4380000,house,2013,3,2,2,SC_062,3117,45795,1648,46,0,hospital_053,3673,S_083,2118
80230,-37.991732,145.160423,4 Marion Court,KEYSBOROUGH,4455000,house,2015,3,2,2,SC_057,1137,19890,3088,49,0,hospital_096,952,S_079,1066
87244,-37.8968612,145.0007242,99 Martin Street,BRIGHTON,29400000,house,2012,5,2,2,SC_015,3595,19953,303,19,0,hospital_013,1098,S_151,1112
27894,-37.583129,144.923564,9 Chelsworth Loop,CRAIGIEBURN,3600000,house,2010,4,2,0,SC_005,991,40221,2713,45,0,hospital_104,7526,S_178,1520
2054,-37.810054,144.875553,25 Bishop Street,KINGSVILLE,10725000,house,2014,3,1,2,SC_043,2203,20023,1257,19,0,hospital_056,2103,S_149,2203
24062,-37.703894,144.964187,17 Basil Street,FAWKNER,4320000,house,2016,3,1,1,SC_030,3406,19961,589,35,0,hospital_139,3348,S_161,1681
92491,-37.991817,145.076059,1 Bethell Avenue,PARKDALE,12000000,house,2014,3,1,3,SC_003,2570,19864,142,41,0,hospital_001,312,S_003,867
12624,-37.71596,144.769463,20 Aitken Drive,DELAHEY,3900000,house,2015,3,1,3,SC_048,3104,20000,1702,39,0,hospital_057,6347,S_094,1632
96122,-37.928602,145.049015,69 Tucker Road,BENTLEIGH,7528000,house,2010,3,2,3,SC_046,1532,19938,1249,40,0,hospital_110,1182,S_107,1178
69310,-37.851875,145.039097,8 Meredith Street,MALVERN,24390000,house,2014,4,2,2,SC_023,2727,19911,363,15,0,hospital_183,1311,S_235,1287
93771,-37.993025,145.0922,92 Keith Street,PARKDALE,7840000,house,2013,3,1,2,SC_003,2452,19864,1392,41,0,hospital_001,1719,S_003,1652
86139,-37.917013,144.993798,14 Munro Street,BRIGHTON,15730000,house,2011,3,2,1,SC_046,4643,19951,303,22,0,hospital_156,615,S_009,257
46852,-37.70248032,145.1491394,208 Progress Road,ELTHAM NORTH,4750000,house,2008,4,3,2,SC_051,3340,19987,1237,44,0,hospital_075,3822,S_194,1597
95749,-37.916106,145.024696,4 Wilson Street,BENTLEIGH,14880000,house,2014,3,1,2,SC_046,2866,19939,1090,38,0,hospital_126,1788,S_107,1575
24532,-37.702081,144.971511,64 Jukes Road,FAWKNER,8840000,house,2012,4,2,2,SC_030,3865,19961,1123,35,0,hospital_139,2904,S_161,1820
20648,-37.76276016,144.9507752,170 Hope Street,BRUNSWICK,12070000,house,2009,3,1,1,SC_030,3379,19967,888,23,0,hospital_011,1123,S_074,1128
57118,-37.822565,145.073311,1A Monomeath Avenue,CANTERBURY,36000000,house,2013,4,3,2,SC_099,1357,19892,583,27,0,hospital_064,2687,S_160,1399
97080,-38.017167,145.27687,9 Bogong Close,HALLAM,3144000,house,2011,3,2,2,SC_077,2838,19885,625,59,0,hospital_069,2898,S_212,1697
64109,-37.796098,145.302634,28 Timms Avenue,CROYDON,5390000,house,2013,3,1,0,SC_022,1751,19877,1527,55,0,hospital_164,4336,S_224,955
41714,-37.747591,145.064309,17 Oakhurst Avenue,HEIDELBERG,15680000,house,2015,3,1,1,SC_017,982,19936,548,28,0,hospital_066,881,S_100,1338
16654,-37.71061,144.940216,18  Neil Street (Hadfield),HADFIELD,8912000,house,2016,2,1,3,SC_030,2578,20033,1838,30,0,hospital_184,4692,S_004,419
34463,-37.7213974,145.0170898,27 Acheron Avenue,RESERVOIR,5499000,house,2009,3,1,1,SC_047,2236,20010,1020,32,0,hospital_139,1729,S_225,1097
53310,-37.817504,145.007912,43 Murphy Street,RICHMOND,16320000,house,2015,2,1,2,SC_083,2456,19906,1119,12,0,hospital_122,468,S_076,1396
21018,-37.759847,144.969543,31 Barrow Street,BRUNSWICK,7986000,house,2012,3,1,1,SC_030,3500,19967,794,23,0,hospital_144,424,S_074,1390
82287,-37.980228,145.234882,54 Scarlet Drive,DOVETON,2664000,house,2013,3,1,2,SC_112,1898,19888,2459,54,0,hospital_119,1499,S_184,1782
89545,-37.9613628,145.0152683,46 Edward Street,SANDRINGHAM,13520000,house,2011,2,1,0,SC_079,2642,19948,1546,29,0,hospital_058,313,S_214,1874
6644,-37.778646,144.835731,34 Leonard Street,SUNSHINE,4500000,house,2010,3,1,1,SC_102,451,20004,976,28,0,hospital_174,301,S_080,405
48061,-37.800637,145.038249,2/2 James Avenue,KEW,7430000,house,2014,2,1,2,SC_083,2219,19904,2324,20,0,hospital_064,1259,S_039,861
51571,-37.7776329,145.1302775,6 The Boulevarde,DONCASTER,13420000,house,2013,3,2,2,SC_091,1117,20042,4694,30,0,hospital_194,1409,S_188,1180
79306,-37.94247818,145.1662903,681 Princes Hwy,SPRINGVALE,4275000,house,2006,4,1,2,SC_073,4385,19913,1372,44,0,hospital_124,3389,S_075,1777
78408,-37.93237686,145.2025147,83 Gladeswood Drive,MULGRAVE,7800000,house,2009,3,2,2,SC_073,3250,19891,4399,46,0,hospital_161,1160,S_067,1296
26292,-37.58886337,144.931839,29 Woodlea Crescent,CRAIGIEBURN,2200000,house,2008,3,2,2,SC_110,1253,40221,1762,45,0,hospital_104,6956,S_178,602
42516,-37.763726,145.056661,68 The Righi,EAGLEMONT,17400000,house,2009,3,2,2,SC_017,1369,19934,239,25,0,hospital_046,711,S_100,1153
38376,-37.78174,145.031855,57 Yarralea Street,ALPHINGTON,10200000,house,2011,3,1,2,SC_001,1769,19931,376,20,0,hospital_029,1108,S_219,1734
44870,-37.69235,145.1142,3/113 Greenhill Road,GREENSBOROUGH,7610000,house,2016,4,2,2,SC_051,4518,19985,1394,38,0,hospital_075,1600,S_210,1575
58165,-37.830003,145.158574,49 Rosalind Crescent,BLACKBURN,12960000,house,2016,5,2,2,SC_002,1638,19898,1337,35,0,hospital_060,395,S_066,829
78942,-37.952195,145.149285,30  St Johns Avenue,SPRINGVALE,10673000,house,2012,3,1,2,SC_057,4980,19913,472,44,0,hospital_124,3303,S_075,249
1318,-37.800216,144.880944,66 McDougall Drive,FOOTSCRAY,9212000,house,2015,3,2,2,SC_043,1858,20023,424,19,0,hospital_056,913,S_201,1502
64375,-37.797292,145.300212,37A Pascoe Avenue,CROYDON,7800000,house,2015,3,2,2,SC_022,1520,19878,1737,51,0,hospital_164,4093,S_224,1042
75936,-37.903552,145.088414,21 Queens Avenue,OAKLEIGH,10000000,house,2014,3,2,2,SC_087,1788,19917,354,34,0,hospital_166,1614,S_167,1787
38205,-37.785423,145.016912,2a Station Street,FAIRFIELD,29750000,house,2011,3,2,0,SC_001,2930,19930,695,18,0,hospital_029,760,S_039,2577
62993,-37.827153,145.25598,5 Valdale Court,HEATHMONT,4008000,house,2013,3,1,2,SC_032,2876,19871,1012,46,0,hospital_105,2113,S_139,2005
37007,-37.630178,145.041083,2 Gatestone Road,EPPING,8720000,house,2014,5,2,3,SC_062,4588,20005,2654,43,0,hospital_053,3220,S_196,2875
13298,-37.71537399,144.7786713,6 Barrell Court,DELAHEY,5840000,house,2008,3,2,2,SC_107,2856,20000,1634,39,0,hospital_057,5930,S_094,1470
14721,-37.762198,144.891821,69 Clifton Street,ABERFELDIE,26860000,house,2010,3,2,2,SC_085,1270,20037,2253,20,0,hospital_068,1838,S_049,1245
54051,-37.820366,145.042482,12 Henry Street,HAWTHORN,14400000,house,2009,3,1,0,SC_083,606,19903,372,23,0,hospital_127,857,S_208,619
77596,-37.928422,145.19975,18 Miners Court,MULGRAVE,11730000,house,2014,4,2,2,SC_073,2748,19891,4503,46,0,hospital_161,1631,S_067,1300
93778,-38.02333069,145.1001892,97 Station Street,ASPENDALE,4192000,house,2009,3,1,1,SC_003,5892,19862,465,46,0,hospital_001,4360,S_119,2072
34324,-37.703658,145.020647,22 Dundee Street,RESERVOIR,5280000,house,2013,2,1,1,SC_047,3976,20009,1087,33,0,hospital_025,2476,S_225,2470
31181,-37.758554,144.993787,352 St Georges Road,THORNBURY,4345000,house,2010,3,1,1,SC_103,2230,20014,573,23,0,hospital_035,1328,S_105,1201
35685,-37.70999146,144.9985352,86 O'Connor Street,RESERVOIR,6050000,house,2007,3,1,1,SC_103,3307,20009,994,33,0,hospital_139,844,S_030,2550
95089,-37.902323,145.05396,2 Wimmera Street,ORMOND,14160000,house,2016,2,1,2,SC_041,1999,19941,1264,35,0,hospital_159,2485,S_015,1643
70418,-37.883716,145.105757,1 Yambie Avenue,CHADSTONE,22200000,house,2010,4,2,2,SC_042,1439,19840,1255,28,0,hospital_166,1730,S_026,1911
19838,-37.676902,144.895718,76B Raleigh Street,WESTMEADOWS,5865000,house,2012,3,1,1,SC_059,1576,20030,2213,36,0,hospital_104,3639,S_153,2288
12276,-37.722673,144.7685,13 Hutzul Court,DELAHEY,4329000,house,2014,3,2,1,SC_048,2637,20001,2340,36,0,hospital_057,5841,S_094,2367
21008,-37.760763,144.958177,30 MacFarland Street,BRUNSWICK,13390000,house,2015,3,1,0,SC_030,3235,19967,227,23,0,hospital_011,687,S_074,1019
84303,-37.847187,144.986081,7 Athol Street,PRAHRAN,8680000,house,2011,3,2,0,SC_066,658,19958,421,9,0,hospital_155,187,S_115,1689
56058,-37.851746,145.124294,1 Finch Street,BURWOOD,13600000,house,2015,3,2,2,SC_037,3643,19875,2637,30,0,hospital_047,1280,S_097,895
94717,-37.923374,145.040485,125 Jasper Road,BENTLEIGH,12840000,house,2013,5,3,2,SC_046,1804,19938,482,40,0,hospital_110,1125,S_107,450
53924,-37.81301,144.991127,95 Hoddle Street,RICHMOND,7760000,house,2014,4,1,1,SC_068,1689,19978,217,6,0,hospital_052,373,S_076,545
40799,-37.684924,145.052959,5 Tamara Court,BUNDOORA,8640000,house,2016,3,2,2,SC_062,4681,20007,3445,38,0,hospital_041,1142,S_155,1542
95421,-37.92421341,145.0394135,29 Robert Street,BENTLEIGH,10444000,house,2009,3,1,2,SC_046,1704,19938,361,40,0,hospital_110,1010,S_107,572
36425,-37.67185,145.034856,37 Deakin Avenue,LALOR,4160000,house,2013,3,1,1,SC_062,4996,20006,1693,40,0,hospital_053,2776,S_229,1416
15204,-37.74195,144.920893,3 Madel Avenue,STRATHMORE,19500000,house,2016,3,2,2,SC_082,1614,20036,585,23,0,hospital_184,1393,S_197,962
47902,-37.808023,145.059211,14 Stoke Avenue,KEW,9504000,house,2016,3,2,2,SC_099,1819,19903,1985,23,0,hospital_064,962,S_137,1730
67625,-37.773413,145.343495,60 Eucalypt Drive,LILYDALE,11775000,house,2016,4,2,2,SC_084,3107,19876,2026,61,0,hospital_113,1614,S_081,1591
93032,-38.001702,145.082001,24 Bay Street,MORDIALLOC,9360000,house,2010,4,2,2,SC_003,3459,19863,735,44,0,hospital_001,1472,S_119,818
7847,-37.779215,144.803543,36 Blanche Street,ARDEER,5400000,house,2011,3,1,1,SC_102,2664,20004,1869,28,0,hospital_057,2296,S_130,2057
51398,-37.793543,145.128941,40 Whittens Lane,DONCASTER,10908000,house,2014,3,2,2,SC_091,764,20042,2933,30,0,hospital_117,2370,S_188,848
94237,-38.0731508,145.1312736,69 McLeod Road,CARRUM,5352000,house,2013,2,1,0,SC_070,4801,19858,799,54,0,hospital_043,8419,S_077,2490
13255,-37.706207,144.757195,51 Bungarim Wynd,SYDENHAM,6783000,house,2010,4,2,2,SC_048,3282,20000,1599,39,0,hospital_057,7871,S_163,1428
66603,-37.786341,145.328181,64b Taylor Road,MOOROOLBARK,11770000,house,2011,3,1,2,SC_084,3379,19877,1399,55,0,hospital_113,3582,S_224,2356
12637,-37.714229,144.773589,20 Ryland Circuit,DELAHEY,4380000,house,2011,3,2,1,SC_107,3313,20000,1459,39,0,hospital_057,6284,S_094,1347
81602,-37.995327,145.24998,1 Eumemmerring Drive,EUMEMMERRING,4950000,house,2016,3,1,1,SC_077,1107,19885,3039,59,0,hospital_119,2948,S_212,1729
70514,-37.87440491,145.095459,13 Woonah Street,CHADSTONE,7930000,house,2013,3,1,1,SC_042,477,19839,421,26,0,hospital_098,1485,S_112,899
79639,-37.986646,145.160837,13 Putt Grove,KEYSBOROUGH,3720000,house,2015,3,1,2,SC_057,1288,19890,2581,49,0,hospital_096,1183,S_079,1245
76836,-37.906705,145.127582,4/25 Gardiner Road,CLAYTON,6035000,house,2014,2,1,1,SC_096,4337,19915,2094,39,0,hospital_065,1397,S_169,2281
